
 num     #instances         #bytes  class name
----------------------------------------------
   1:        161563       35174768  [C
   2:          8346       15350984  [I
   3:          6411        8791296  [B
   4:        109624        2630976  java.lang.String
   5:         21679        1907752  java.lang.reflect.Method
   6:         41860         898184  [Ljava.lang.Class;
   7:         14304         839992  [Ljava.lang.Object;
   8:          7085         786440  java.lang.Class
   9:          8725         734400  [Ljava.util.HashMap$Node;
  10:         22169         709408  java.util.concurrent.ConcurrentHashMap$Node
  11:         10258         656512  java.net.URL
  12:         16221         519072  java.util.HashMap$Node
  13:         11452         458080  java.util.LinkedHashMap$Entry
  14:         10394         332608  java.lang.ref.WeakReference
  15:          5236         293216  java.util.LinkedHashMap
  16:          9067         290144  org.springframework.boot.loader.jar.StringSequence
  17:          3558         284976  [S
  18:          6962         281952  [Ljava.lang.reflect.Method;
  19:          5627         270096  java.util.HashMap
  20:         15696         251136  java.lang.Object
  21:           138         243168  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  22:          3048         219456  java.lang.reflect.Field
  23:          9067         217608  org.springframework.boot.loader.jar.JarURLConnection$JarEntryName
  24:          5279         211160  java.lang.ref.SoftReference
  25:          3271         157008  org.springframework.core.ResolvableType
  26:          6505         156120  java.util.ArrayList
  27:          4565         153680  [Ljava.lang.String;
  28:          3015         144720  java.util.zip.Inflater
  29:          2584         144704  java.beans.MethodDescriptor
  30:          5688         136512  java.beans.MethodRef
  31:          1533         122640  java.lang.reflect.Constructor
  32:          2296         110208  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  33:          4527         108648  java.lang.Class$MethodArray
  34:          2639         105560  java.lang.ref.Finalizer
  35:           932         104384  org.springframework.boot.loader.jar.JarEntry
  36:          4796         103928  [Ljava.lang.reflect.Type;
  37:          4147          99528  java.lang.StringBuilder
  38:          2304          92160  org.springframework.util.ConcurrentReferenceHashMap$Segment
  39:          2546          88576  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  40:          3688          88512  org.springframework.core.annotation.AnnotatedElementUtils$MergedAnnotationAttributesProcessor
  41:          2667          85344  java.util.concurrent.locks.ReentrantLock$NonfairSync
  42:          2463          78816  java.lang.ref.ReferenceQueue
  43:          3256          78144  java.util.zip.ZStreamRef
  44:           961          76880  org.springframework.boot.loader.jar.JarURLConnection
  45:          2256          72192  java.util.ArrayList$Itr
  46:          1280          71680  java.lang.Class$ReflectionData
  47:          1106          70784  org.springframework.asm.Label
  48:          4310          68960  java.util.HashSet
  49:           710          68160  org.springframework.beans.GenericTypeAwarePropertyDescriptor
  50:          1566          62640  java.util.TreeMap$Entry
  51:          1023          57288  org.springframework.asm.Item
  52:           779          56088  org.springframework.core.annotation.AnnotationAttributes
  53:           777          55944  java.beans.PropertyDescriptor
  54:          2307          55368  java.util.LinkedList$Node
  55:           864          55296  org.springframework.core.MethodParameter
  56:          2304          55296  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
  57:           979          54824  java.lang.invoke.MemberName
  58:          2265          54360  sun.reflect.generics.tree.SimpleClassTypeSignature
  59:           868          48608  jdk.internal.org.objectweb.asm.Item
  60:          1514          48448  java.util.LinkedList
  61:          1508          48256  java.util.LinkedHashMap$LinkedValueIterator
  62:          1000          48000  org.springframework.asm.Frame
  63:          1176          47040  java.util.HashMap$KeyIterator
  64:           906          43488  org.apache.tomcat.util.modeler.AttributeInfo
  65:          1539          42896  [Ljava.lang.annotation.Annotation;
  66:          2295          42616  [Lsun.reflect.generics.tree.TypeArgument;
  67:          1059          42360  java.lang.invoke.MethodType
  68:          2526          40416  java.lang.Integer
  69:          2465          39440  java.lang.ref.ReferenceQueue$Lock
  70:          1602          38448  org.springframework.util.ConcurrentReferenceHashMap$Entry
  71:          1117          35744  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  72:          1993          34336  [Ljava.lang.reflect.TypeVariable;
  73:          2106          33696  sun.reflect.generics.tree.ClassTypeSignature
  74:           133          33672  [[C
  75:          1966          31456  java.util.LinkedHashSet
  76:           187          31416  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  77:           768          30720  java.lang.ClassNotFoundException
  78:           937          29984  org.springframework.boot.loader.jar.AsciiBytes
  79:          1781          28496  sun.reflect.ConstantPool
  80:          1171          28104  java.util.Collections$UnmodifiableCollection$1
  81:            31          27440  [Ljdk.internal.org.objectweb.asm.Item;
  82:           483          27048  java.util.concurrent.ConcurrentHashMap$KeyIterator
  83:           844          27008  org.springframework.asm.Type
  84:           474          26544  java.lang.Package
  85:          1598          25568  org.springframework.core.ResolvableType$DefaultVariableResolver
  86:          1015          24456  [Lorg.springframework.core.ResolvableType;
  87:           493          23664  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
  88:           838          22336  [Ljava.lang.CharSequence;
  89:           928          22272  sun.reflect.annotation.AnnotationInvocationHandler
  90:           135          21600  org.springframework.beans.factory.support.RootBeanDefinition
  91:          1319          21104  java.util.LinkedHashMap$LinkedKeySet
  92:           484          20208  [Ljava.lang.reflect.Field;
  93:           815          19560  org.springframework.asm.Edge
  94:           809          19416  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
  95:           403          19344  org.apache.tomcat.util.modeler.OperationInfo
  96:           806          19344  sun.reflect.generics.factory.CoreReflectionFactory
  97:           828          19272  [Ljava.lang.reflect.Constructor;
  98:           900          19032  [Lsun.reflect.generics.tree.FieldTypeSignature;
  99:           584          18688  java.util.RegularEnumSet
 100:           566          18112  java.util.LinkedHashMap$LinkedKeyIterator
 101:           449          17960  java.util.WeakHashMap$Entry
 102:           742          17808  java.net.URLClassLoader$1
 103:           538          17216  javax.management.MBeanAttributeInfo
 104:          1069          17104  org.springframework.core.annotation.AnnotationUtils$DefaultValueHolder
 105:           267          17088  java.util.concurrent.ConcurrentHashMap
 106:            86          16560  [Z
 107:           687          16488  java.lang.Class$AnnotationData
 108:           509          16288  java.lang.invoke.DirectMethodHandle
 109:           338          16224  ch.qos.logback.classic.Logger
 110:           190          15880  [Ljava.beans.MethodDescriptor;
 111:           389          15560  org.springframework.util.ConcurrentReferenceHashMap$Segment$1
 112:           638          15312  java.util.jar.Attributes$Name
 113:           462          14784  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 114:           601          14424  sun.reflect.NativeConstructorAccessorImpl
 115:           438          14016  java.util.LinkedHashMap$LinkedEntryIterator
 116:            62          13888  jdk.internal.org.objectweb.asm.MethodWriter
 117:           433          13856  java.util.Hashtable$Entry
 118:           417          13344  org.springframework.boot.context.properties.source.ConfigurationPropertyName
 119:           557          13192  [Lorg.springframework.asm.Type;
 120:           363          12904  [Ljava.beans.PropertyDescriptor;
 121:           314          12560  sun.reflect.generics.repository.MethodRepository
 122:           389          12448  org.springframework.util.ConcurrentReferenceHashMap$1
 123:           387          12384  java.lang.invoke.LambdaForm$Name
 124:           695          12256  [Lsun.reflect.generics.tree.FormalTypeParameter;
 125:           508          12192  sun.reflect.generics.scope.ClassScope
 126:           202          12120  [Ljava.lang.ref.SoftReference;
 127:           375          12000  sun.reflect.generics.repository.ClassRepository
 128:           499          11976  org.springframework.cglib.core.Signature
 129:           744          11904  java.util.LinkedHashMap$LinkedEntrySet
 130:           494          11856  java.util.concurrent.locks.ReentrantReadWriteLock
 131:           725          11600  java.util.LinkedHashMap$LinkedValues
 132:           144          11520  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 133:           283          11320  javax.management.MBeanOperationInfo
 134:           353          11296  java.util.AbstractList$Itr
 135:           132          11056  [Ljava.util.Hashtable$Entry;
 136:           341          10912  sun.misc.FDBigInteger
 137:           271          10840  java.util.HashMap$ValueIterator
 138:           320          10240  sun.reflect.generics.tree.MethodTypeSignature
 139:           421          10104  org.springframework.boot.context.properties.source.PropertyMapping
 140:           620           9920  sun.reflect.DelegatingConstructorAccessorImpl
 141:           409           9816  org.springframework.core.MethodIntrospector$$Lambda$291/603443293
 142:            19           9656  [Lorg.springframework.asm.Item;
 143:           170           9520  java.util.ResourceBundle$CacheKey
 144:            42           9408  org.springframework.asm.MethodWriter
 145:           391           9400  [Lorg.springframework.util.ConcurrentReferenceHashMap$TaskOption;
 146:           293           9376  org.apache.tomcat.util.modeler.ParameterInfo
 147:           190           9120  java.beans.BeanDescriptor
 148:            80           9088  [Ljava.util.WeakHashMap$Entry;
 149:           375           9000  sun.reflect.generics.tree.ClassSignature
 150:           363           8712  org.springframework.core.SerializableTypeWrapper$$Lambda$14/683287027
 151:           121           8712  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
 152:           358           8592  org.springframework.beans.BeanMetadataAttribute
 153:           403           8400  [Lorg.apache.tomcat.util.modeler.ParameterInfo;
 154:           375           7912  [Lsun.reflect.generics.tree.ClassTypeSignature;
 155:           494           7904  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 156:           494           7904  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 157:           494           7904  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 158:           322           7728  java.util.Arrays$ArrayList
 159:            80           7680  sun.util.calendar.Gregorian$Date
 160:           190           7600  java.beans.GenericBeanInfo
 161:           158           7584  java.util.ResourceBundle$BundleReference
 162:           314           7536  sun.reflect.generics.scope.MethodScope
 163:           156           7488  java.lang.invoke.LambdaForm
 164:           155           7440  java.util.logging.LogManager$LoggerWeakRef
 165:           320           7384  [Lsun.reflect.generics.tree.TypeSignature;
 166:           166           7352  [Ljava.lang.invoke.LambdaForm$Name;
 167:           127           7112  java.lang.invoke.MethodTypeForm
 168:           221           7072  javax.management.MBeanParameterInfo
 169:           211           6752  org.springframework.boot.loader.data.RandomAccessDataFile
 170:           275           6600  java.util.concurrent.CopyOnWriteArrayList
 171:           205           6560  java.util.LinkedList$ListItr
 172:           408           6528  java.util.Collections$UnmodifiableSet
 173:           136           6528  org.springframework.boot.loader.jar.ZipInflaterInputStream
 174:           135           6480  java.util.TreeMap
 175:           269           6456  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 176:           113           6328  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
 177:           256           6144  java.lang.Long
 178:           122           6016  [Ljava.security.ProtectionDomain;
 179:            16           6016  java.lang.Thread
 180:           125           6000  java.nio.HeapByteBuffer
 181:           186           5952  org.apache.logging.slf4j.SLF4JLogger
 182:           184           5888  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 183:           360           5760  java.lang.Short
 184:           144           5760  org.springframework.util.ConcurrentReferenceHashMap
 185:            65           5720  org.springframework.beans.ExtendedBeanInfo$SimplePropertyDescriptor
 186:            89           5696  java.beans.Introspector
 187:           170           5440  java.util.ResourceBundle$LoaderReference
 188:            75           5400  java.util.logging.Logger
 189:           330           5280  com.sun.proxy.$Proxy24
 190:           109           5232  java.util.Hashtable
 191:           218           5232  org.springframework.beans.factory.annotation.InjectionMetadata
 192:           162           5184  java.security.CodeSource
 193:           160           5120  java.lang.reflect.Proxy$Key1
 194:           212           5088  sun.reflect.NativeMethodAccessorImpl
 195:           314           5024  java.util.HashMap$KeySet
 196:           209           5016  org.springframework.core.annotation.AnnotationUtils$AnnotationCacheKey
 197:           309           4944  org.apache.commons.logging.LogFactory$Log4jLog
 198:            75           4936  [Ljavax.management.MBeanAttributeInfo;
 199:           153           4896  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 200:            87           4872  sun.util.calendar.ZoneInfo
 201:           299           4784  java.util.concurrent.locks.ReentrantLock
 202:           199           4776  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 203:           199           4776  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 204:           194           4656  sun.reflect.generics.visitor.Reifier
 205:           116           4640  org.springframework.core.SerializableTypeWrapper$MethodInvokeTypeProvider
 206:           189           4536  javax.management.ImmutableDescriptor
 207:           189           4536  sun.reflect.generics.tree.Wildcard
 208:           188           4512  org.apache.logging.log4j.message.DefaultFlowMessageFactory
 209:           280           4480  java.util.HashMap$Values
 210:           183           4392  org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor
 211:            26           4368  jdk.internal.org.objectweb.asm.ClassWriter
 212:           181           4344  java.lang.invoke.LambdaForm$NamedFunction
 213:            67           4288  jdk.internal.org.objectweb.asm.Label
 214:           107           4280  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 215:           176           4224  org.springframework.boot.web.server.MimeMappings$Mapping
 216:           264           4224  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 217:            25           4200  [Ljava.net.URL;
 218:           131           4192  java.lang.NoSuchMethodException
 219:           174           4176  java.lang.StringBuffer
 220:           168           4160  [Ljavax.management.MBeanParameterInfo;
 221:            37           4144  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 222:           172           4128  com.fasterxml.jackson.databind.type.ClassKey
 223:           128           4096  com.sun.jmx.mbeanserver.ConvertingMethod
 224:           256           4096  java.lang.Byte
 225:           127           4064  com.sun.org.apache.xerces.internal.xni.QName
 226:           127           4064  java.util.logging.LogManager$LogNode
 227:           126           4032  org.springframework.cglib.core.ReflectUtils$5
 228:           110           4000  [Lorg.springframework.boot.context.properties.source.PropertyMapping;
 229:           247           3952  org.springframework.util.LinkedMultiValueMap
 230:            10           3840  org.apache.tomcat.util.threads.TaskThread
 231:            53           3816  sun.reflect.DelegatingClassLoader
 232:           119           3808  java.util.Vector
 233:           118           3776  java.lang.invoke.BoundMethodHandle$Species_L
 234:            94           3760  java.security.ProtectionDomain
 235:           234           3744  sun.reflect.DelegatingMethodAccessorImpl
 236:           155           3720  sun.reflect.generics.tree.FormalTypeParameter
 237:            92           3680  java.math.BigInteger
 238:            38           3648  org.springframework.boot.loader.jar.JarFile
 239:           152           3648  sun.misc.ProxyGenerator$ConstantPool$IndirectEntry
 240:            75           3600  java.util.WeakHashMap
 241:           150           3600  jdk.internal.org.objectweb.asm.ByteVector
 242:            64           3584  org.apache.tomcat.util.modeler.ManagedBean
 243:            64           3584  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment
 244:            74           3552  javax.management.MBeanInfo
 245:            97           3544  [J
 246:           147           3528  sun.reflect.generics.parser.SignatureParser
 247:           109           3488  java.lang.reflect.WeakCache$CacheKey
 248:           106           3392  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 249:            84           3360  org.springframework.cglib.core.CodeEmitter
 250:            84           3360  org.springframework.cglib.core.CodeEmitter$State
 251:            84           3360  sun.nio.cs.UTF_8$Decoder
 252:           136           3264  org.springframework.boot.loader.data.RandomAccessDataFile$DataInputStream
 253:           136           3264  org.springframework.core.io.ClassPathResource
 254:           200           3200  org.springframework.boot.autoconfigure.condition.ConditionMessage
 255:            35           3136  [Ljava.lang.invoke.MethodHandle;
 256:           195           3120  sun.reflect.generics.tree.TypeVariableSignature
 257:           129           3096  java.time.LocalDateTime
 258:            43           3096  java.util.regex.Pattern
 259:           127           3048  javax.management.ObjectName$Property
 260:            95           3040  org.springframework.cglib.proxy.MethodProxy
 261:           109           3008  [Ljavax.management.ObjectName$Property;
 262:           187           2992  org.apache.logging.log4j.message.ParameterizedMessageFactory
 263:            73           2920  java.io.ObjectStreamField
 264:            73           2920  org.springframework.boot.loader.jar.CentralDirectoryFileHeader
 265:           121           2904  org.springframework.core.type.classreading.SimpleMetadataReader
 266:            90           2880  java.util.TreeMap$ValueIterator
 267:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 268:           180           2880  org.springframework.core.SerializableTypeWrapper$TypeProxyInvocationHandler
 269:           176           2816  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 270:           117           2808  org.springframework.beans.MutablePropertyValues
 271:           116           2784  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$$Lambda$320/2081191879
 272:           115           2760  org.springframework.beans.CachedIntrospectionResults
 273:            86           2752  java.lang.invoke.DirectMethodHandle$Special
 274:            64           2688  [Lorg.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry;
 275:           168           2688  org.springframework.core.$Proxy5
 276:            88           2680  [Lorg.springframework.asm.Label;
 277:           110           2640  java.time.LocalDate
 278:           109           2616  sun.reflect.annotation.AnnotationParser$1
 279:           135           2536  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 280:            63           2520  org.springframework.cglib.core.EmitUtils$14
 281:            65           2504  [Ljavax.management.MBeanOperationInfo;
 282:            38           2432  org.springframework.boot.loader.jar.JarFileEntries$1
 283:           150           2400  org.springframework.core.MethodParameter$$Lambda$115/2088051243
 284:            75           2400  sun.reflect.UnsafeStaticObjectFieldAccessorImpl
 285:            99           2376  java.time.LocalTime
 286:            74           2368  java.lang.ThreadLocal$ThreadLocalMap$Entry
 287:            58           2320  java.security.AccessControlContext
 288:           144           2304  org.springframework.core.SerializableTypeWrapper$$Lambda$15/1793329556
 289:            94           2256  java.util.concurrent.CopyOnWriteArrayList$COWIterator
 290:            92           2208  java.util.Collections$UnmodifiableRandomAccessList
 291:            55           2200  javax.management.ObjectName
 292:            21           2184  java.lang.invoke.InnerClassLambdaMetafactory
 293:            89           2136  com.sun.beans.WildcardTypeImpl
 294:            88           2112  java.util.BitSet
 295:            66           2112  sun.misc.URLClassPath$Loader$1
 296:            44           2112  sun.util.locale.LocaleObjectCache$CacheEntry
 297:           128           2048  java.lang.Character
 298:           128           2048  java.lang.reflect.WeakCache$LookupValue
 299:            63           2016  java.lang.reflect.WeakCache$CacheValue
 300:            84           2016  java.util.regex.Pattern$1
 301:            36           2016  jdk.internal.org.objectweb.asm.AnnotationWriter
 302:            84           2016  org.springframework.asm.ByteVector
 303:            84           2016  org.springframework.cglib.core.LocalVariablesSorter$State
 304:            42           2016  org.springframework.context.annotation.ConfigurationClass
 305:            49           1960  java.lang.reflect.Parameter
 306:            79           1896  java.util.Date
 307:            78           1872  org.apache.catalina.LifecycleEvent
 308:            70           1856  [Ljava.lang.annotation.ElementType;
 309:            38           1824  org.springframework.boot.loader.jar.JarFileEntries
 310:            92           1816  [Ljava.lang.reflect.Parameter;
 311:            85           1800  [Lorg.apache.catalina.Container;
 312:            75           1800  org.springframework.context.annotation.BeanMethod
 313:            73           1752  java.time.ZoneRegion
 314:            54           1728  org.springframework.cglib.proxy.MethodProxy$FastClassInfo
 315:            71           1704  org.springframework.cglib.core.MethodWrapper$MethodWrapperKey$$KeyFactoryByCGLIB$$552be97a
 316:            70           1680  java.security.Provider$ServiceKey
 317:            52           1664  sun.reflect.annotation.AnnotationType
 318:            68           1632  java.io.ExpiringCache$Entry
 319:            40           1600  sun.management.DiagnosticCommandArgumentInfo
 320:            66           1584  java.util.regex.Pattern$GroupHead
 321:            66           1584  java.util.regex.Pattern$GroupTail
 322:             1           1568  [[B
 323:            49           1568  org.springframework.cglib.proxy.MethodProxy$CreateInfo
 324:            19           1520  org.springframework.beans.BeanWrapperImpl
 325:            27           1512  java.security.Provider$Service
 326:            27           1512  org.apache.tomcat.util.res.StringManager$1
 327:            63           1512  org.springframework.cglib.core.ReflectUtils$6
 328:            94           1504  [Ljava.security.Principal;
 329:            94           1504  java.security.ProtectionDomain$Key
 330:            47           1504  java.util.regex.Pattern$Branch
 331:            37           1480  org.springframework.cglib.proxy.Enhancer$EnhancerKey$$KeyFactoryByCGLIB$$4ce19e8f
 332:            30           1440  java.time.temporal.ValueRange
 333:            90           1440  java.util.TreeMap$Values
 334:            89           1424  [Ljava.beans.BeanInfo;
 335:            88           1408  com.sun.proxy.$Proxy33
 336:            44           1408  java.util.zip.ZipCoder
 337:            22           1408  jdk.internal.org.objectweb.asm.FieldWriter
 338:             1           1376  [Lsun.misc.FDBigInteger;
 339:            57           1368  java.util.Collections$SingletonList
 340:            47           1352  [Ljava.util.regex.Pattern$Node;
 341:            56           1344  java.util.regex.Pattern$Single
 342:            55           1320  org.springframework.boot.context.properties.ConfigurationBeanFactoryMetadata$FactoryMetadata
 343:            54           1296  com.sun.jmx.mbeanserver.NamedObject
 344:            40           1280  java.util.Collections$SynchronizedMap
 345:            53           1272  java.util.ArrayDeque
 346:            52           1248  java.lang.invoke.MethodHandles$Lookup
 347:            52           1248  java.util.regex.Pattern$BitClass
 348:            22           1232  java.util.stream.ReferencePipeline$Head
 349:            51           1224  java.util.regex.Pattern$Slice
 350:            51           1224  org.springframework.core.convert.TypeDescriptor
 351:            51           1224  org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter
 352:            38           1216  java.security.Permissions
 353:            30           1200  java.time.temporal.ChronoField
 354:            38           1184  [Ljava.math.BigInteger;
 355:            74           1184  java.util.jar.Attributes
 356:            37           1184  sun.reflect.UnsafeObjectFieldAccessorImpl
 357:            49           1176  org.springframework.boot.autoconfigure.condition.OnClassCondition
 358:            73           1168  com.sun.proxy.$Proxy9
 359:            29           1160  java.io.FileDescriptor
 360:            29           1160  java.util.PropertyResourceBundle
 361:            48           1152  java.net.URLClassLoader$2
 362:             8           1152  java.text.DecimalFormat
 363:            36           1152  org.springframework.cglib.core.WeakCacheKey
 364:            36           1152  org.springframework.cglib.proxy.Enhancer$EnhancerFactoryData
 365:            11           1144  org.springframework.beans.factory.support.GenericBeanDefinition
 366:             6           1120  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 367:            37           1120  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser;
 368:            35           1120  java.io.FilePermission
 369:            23           1104  sun.management.DiagnosticCommandInfo
 370:            34           1088  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$$Lambda$177/292917034
 371:            34           1088  org.springframework.format.support.FormattingConversionService$AnnotationParserConverter
 372:            34           1088  org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter
 373:            19           1064  sun.misc.URLClassPath$JarLoader
 374:            33           1056  java.util.regex.Pattern$Curly
 375:             6           1056  org.springframework.asm.ClassWriter
 376:            44           1056  org.springframework.context.event.GenericApplicationListenerAdapter
 377:             1           1040  [Ljava.lang.Byte;
 378:             1           1040  [Ljava.lang.Integer;
 379:             1           1040  [Ljava.lang.Long;
 380:             1           1040  [Ljava.lang.Short;
 381:            64           1024  [Lorg.apache.tomcat.util.modeler.NotificationInfo;
 382:            32           1024  java.io.File
 383:            63           1008  org.springframework.cglib.core.EmitUtils$13
 384:            25           1000  java.lang.invoke.DirectMethodHandle$Interface
 385:            25           1000  java.time.format.DateTimeFormatter
 386:            25           1000  java.util.IdentityHashMap
 387:            31            992  java.util.Collections$UnmodifiableMap
 388:            62            992  org.apache.juli.logging.DirectJDKLog
 389:            30            960  java.security.Provider$EngineDescription
 390:            24            960  org.apache.tomcat.util.modeler.BaseModelMBean
 391:            24            960  org.springframework.core.annotation.AnnotationUtils$AliasDescriptor
 392:            40            960  org.springframework.http.MediaType
 393:            17            952  java.util.concurrent.ConcurrentHashMap$ValueIterator
 394:            29            928  jdk.internal.org.objectweb.asm.Type
 395:            29            928  org.springframework.format.support.FormattingConversionService$PrinterConverter
 396:            38            912  org.springframework.boot.loader.jar.Handler
 397:            28            896  com.fasterxml.jackson.databind.DeserializationFeature
 398:            14            896  java.util.regex.Matcher
 399:            37            888  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser
 400:            37            888  java.util.jar.Manifest
 401:            37            888  sun.misc.URLClassPath$Loader
 402:            36            864  com.sun.org.apache.xerces.internal.util.XMLStringBuffer
 403:            36            864  java.io.FilePermissionCollection
 404:            54            864  java.lang.ThreadLocal
 405:            15            840  java.lang.invoke.LambdaFormEditor$Transform
 406:            15            840  javax.management.openmbean.ArrayType
 407:            21            840  org.springframework.core.io.ResourceEditor
 408:            21            840  org.springframework.core.io.support.ResourceArrayPropertyEditor
 409:            21            840  sun.util.locale.BaseLocale$Key
 410:            26            832  com.fasterxml.jackson.databind.MapperFeature
 411:            26            832  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser
 412:            26            832  org.hibernate.validator.internal.engine.valueextraction.ValueExtractorDescriptor
 413:            52            832  sun.misc.ProxyGenerator$ConstantPool$ValueEntry
 414:            17            816  java.util.Properties
 415:            34            816  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$$Lambda$180/192794887
 416:            34            816  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$$Lambda$181/1122805102
 417:            34            816  org.springframework.context.annotation.CommonAnnotationBeanPostProcessor$$Lambda$178/140799417
 418:            34            816  org.springframework.context.annotation.CommonAnnotationBeanPostProcessor$$Lambda$179/110431793
 419:            20            800  com.sun.jmx.mbeanserver.MXBeanSupport
 420:            50            800  com.sun.proxy.$Proxy0
 421:            20            800  org.apache.tomcat.util.collections.ManagedConcurrentWeakHashMap$Key
 422:            14            784  [Ljava.util.regex.Pattern$GroupHead;
 423:            43            784  [Ljavax.management.MBeanNotificationInfo;
 424:            49            784  com.sun.proxy.$Proxy3
 425:             7            784  java.util.GregorianCalendar
 426:             8            768  [Lcom.sun.org.apache.xerces.internal.xni.QName;
 427:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping
 428:            16            768  com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute
 429:            32            768  java.util.regex.Pattern$Start
 430:            16            768  org.springframework.cglib.reflect.FastClass$Generator
 431:            48            768  sun.reflect.generics.tree.ArrayTypeSignature
 432:            19            760  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
 433:            19            760  java.util.HashMap$EntryIterator
 434:            47            752  com.sun.proxy.$Proxy2
 435:            47            752  java.util.regex.Pattern$BranchConn
 436:            31            744  com.sun.org.apache.xerces.internal.xni.XMLString
 437:            31            744  java.util.regex.Pattern$Ques
 438:            23            736  com.fasterxml.jackson.databind.SerializationFeature
 439:            23            736  java.net.InetAddress$InetAddressHolder
 440:            23            736  sun.management.DiagnosticCommandImpl$Wrapper
 441:            24            728  [Ljava.io.ObjectStreamField;
